PROMEDIO;STD;APRO_N1;APRO_N2;APRO_N3;APRO_N4;APRO_N5;APRO_N6;APRO_N7;APRO_N8;PERD_N1;PERD_N2;PERD_N3;PERD_N4;PERD_N5;PERD_N6;PERD_N7;PERD_N8;RETIROS;STATUS
12,30;3,47;5;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2
14,47;0,86;6;7;6;8;0;0;0;0;0;3;1;0;1;0;0;0;0;2
13,45;1,44;4;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;2
16,39;1,38;7;6;7;5;6;5;5;7;0;0;1;0;0;0;0;0;0;1
16,13;1,75;7;7;5;5;7;5;5;0;1;0;0;0;2;0;0;0;0;1
14,59;0,87;5;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1
16,56;1,46;8;4;7;9;6;5;8;5;0;0;1;0;0;0;0;0;2;1
12,89;3,72;4;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2
15,40;1,53;6;5;4;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1
11,18;4,26;5;2;0;0;0;0;0;0;4;5;3;0;0;0;0;0;0;2
15,14;2,56;7;7;6;5;6;5;0;0;1;4;0;2;0;0;0;0;0;1
10,32;4,20;3;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;2
13,73;4,07;5;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2
15,97;1,30;5;5;6;6;6;5;0;0;0;0;0;0;1;0;0;0;0;1
16,15;2,00;7;7;5;5;7;5;5;0;0;0;1;0;1;1;0;0;0;1
15,64;1,73;6;7;8;9;5;5;5;6;1;2;0;1;0;0;0;2;0;1
15,17;3,74;5;1;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;2
8,94;3,82;2;0;0;0;0;0;0;0;11;1;0;0;0;0;0;0;0;2
16,22;1,33;5;5;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;1
11,88;4,46;6;4;2;1;0;0;0;0;3;2;1;0;0;0;0;0;6;2
16,40;1,35;5;5;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;1
17,52;1,26;8;4;8;9;5;5;8;7;0;0;0;0;0;0;0;0;0;1
16,82;1,02;7;7;5;5;7;5;5;7;0;0;0;0;0;0;0;0;0;1
10,71;6,44;3;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1
6,63;1,19;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2
15,50;1,02;5;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1
10,95;4,65;4;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;1
8,01;5,33;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2
11,17;3,62;1;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;2
15,42;2,20;6;7;7;9;5;5;5;5;2;2;1;0;0;0;0;1;1;1
12,02;4,85;3;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1
13,78;2,53;6;5;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;1
1,65;0,87;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2
14,83;1,06;8;2;1;0;0;0;0;0;1;2;0;0;0;0;0;0;1;2
16,17;2,34;7;6;7;9;6;7;5;8;2;0;2;0;0;0;0;0;0;1
15,23;2,98;7;6;7;8;8;5;5;0;3;8;0;1;2;0;0;0;0;1
15,03;1,37;6;7;7;5;6;5;5;7;1;2;2;0;0;1;1;0;0;1
17,06;1,22;5;5;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;1
8,01;5,78;1;0;0;0;0;0;0;0;5;4;0;0;0;0;0;0;0;1
15,68;1,51;7;6;7;5;6;5;5;7;0;1;2;0;0;2;0;0;0;1
15,21;1,10;5;5;6;6;6;5;1;0;0;0;0;0;0;3;0;0;0;1
14,47;1,68;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
11,56;2,42;3;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;0;2
12,21;4,02;4;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;2
15,35;1,23;5;5;6;6;6;4;0;0;0;0;0;0;3;1;0;0;0;1
12,77;3,29;4;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;2
4,41;0,95;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2
10,66;2,75;1;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;2
15,79;1,97;7;6;7;8;7;5;5;7;0;1;0;1;0;0;0;0;0;1
16,24;1,41;7;6;7;5;6;5;5;3;0;0;0;0;0;0;0;0;0;1
14,07;2,35;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
13,51;1,77;6;4;1;0;0;0;0;0;2;3;1;0;0;0;0;0;0;2
16,52;1,44;7;7;5;5;7;5;5;7;0;0;0;0;0;0;0;0;0;1
15,12;1,96;6;7;7;7;6;5;5;1;1;2;4;0;0;1;1;0;0;1
10,20;3,85;3;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;2
15,91;1,56;7;6;7;9;5;5;5;6;0;0;1;0;0;0;0;1;0;1
14,00;2,03;6;4;2;0;0;0;0;0;0;3;1;0;0;0;0;0;0;1
16,02;1,10;8;4;6;4;2;0;0;0;0;0;0;0;0;0;0;0;0;2
14,57;2,64;7;6;7;5;6;5;5;1;1;3;3;1;0;0;0;0;0;1
15,51;1,41;8;5;8;8;6;5;5;7;0;1;1;1;0;1;0;0;0;1
16,47;1,27;8;4;6;6;6;5;5;0;0;0;0;0;2;0;0;0;0;1
1,50;1,00;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2
16,70;1,43;8;4;6;6;7;5;5;2;0;0;0;0;1;0;0;0;0;1
8,02;3,29;4;1;0;0;0;0;0;0;8;3;0;1;0;0;0;0;0;2
9,33;1,99;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2
14,43;2,06;7;6;7;6;6;5;2;0;3;1;3;2;0;1;2;0;0;1
